[mea_500kV_1]二次侧数据---kV/kA
TIME		Va		Vb		Vc		Ia		Ib		Ic		Vab		Vbc		Vca		freq		P		Q		pf		3I0		3V0
    0.029542,	   89.519541,	   97.833591,	  101.894055,	    0.340464,	    0.369607,	    0.387567,	  157.441801,	  178.588555,	  164.987520,	   50.706291,	27967.558144,	   -7.541125,	    1.000000,	    0.000000,	   -0.000000
    0.029958,	   90.961433,	  101.453607,	  102.457204,	    0.345458,	    0.383328,	    0.389952,	  163.205865,	  182.501079,	  165.076005,	   50.198242,	29064.295256,	   -7.620030,	    1.000000,	   -0.000000,	   -0.000000
    0.030375,	   92.927775,	  104.853654,	  102.729119,	    0.352398,	    0.396312,	    0.391179,	  169.429774,	  185.632836,	  165.479297,	   53.242320,	30183.131955,	   -8.352760,	    1.000000,	   -0.000000,	   -0.000000
    0.030792,	   95.409313,	  107.941476,	  102.807541,	    0.361296,	    0.408214,	    0.391597,	  175.895447,	  187.985555,	  166.413019,	   53.280510,	31323.689976,	  -10.230187,	    1.000000,	   -0.000000,	   -0.000000
    0.031208,	   98.358254,	  110.649926,	  102.808431,	    0.372007,	    0.418751,	    0.391622,	  182.389503,	  189.609106,	  168.060801,	   50.506363,	32487.325541,	  -10.922440,	    1.000000,	    0.000000,	   -0.000000
    0.031625,	  101.693840,	  112.934129,	  102.859249,	    0.384232,	    0.427705,	    0.391725,	  188.710053,	  190.595509,	  170.555582,	   49.728010,	33675.779576,	   -9.807407,	    1.000000,	   -0.000000,	   -0.000000
    0.032042,	  105.306111,	  114.766639,	  103.091598,	    0.397556,	    0.434944,	    0.392399,	  194.662886,	  191.073653,	  173.963008,	   52.452139,	34888.636087,	   -8.569542,	    1.000000,	   -0.000000,	   -0.000000
    0.032458,	  109.064084,	  116.141402,	  103.631647,	    0.411516,	    0.440454,	    0.394122,	  200.070190,	  191.211174,	  178.269908,	   53.206359,	36123.318082,	   -8.005479,	    1.000000,	   -0.000000,	   -0.000000
    0.032875,	  112.837172,	  117.085927,	  104.585543,	    0.425646,	    0.444336,	    0.397299,	  204.803681,	  191.212637,	  183.389237,	   51.564393,	37379.477342,	   -8.333932,	    1.000000,	    0.000000,	   -0.000000
    0.033292,	  116.504646,	  117.656700,	  106.027451,	    0.439490,	    0.446773,	    0.402237,	  208.784680,	  191.302133,	  189.175069,	   50.615789,	38658.251790,	   -8.905910,	    1.000000,	   -0.000000,	   -0.000000
    0.033708,	  119.956706,	  117.932327,	  107.993413,	    0.452616,	    0.448029,	    0.409108,	  211.973378,	  191.707096,	  195.438847,	   52.059869,	39960.222252,	   -9.034866,	    1.000000,	    0.000000,	   -0.000000
    0.034125,	  123.097271,	  118.011798,	  110.477973,	    0.464650,	    0.448458,	    0.417930,	  214.368987,	  192.643183,	  201.964990,	   52.360405,	41285.105134,	   -9.174235,	    1.000000,	   -0.000000,	   -0.000000
    0.034542,	  125.850698,	  118.012669,	  113.434109,	    0.475295,	    0.448487,	    0.428559,	  216.017313,	  194.294045,	  208.529135,	   51.248935,	42632.685336,	   -9.343410,	    1.000000,	    0.000000,	   -0.000000
    0.034958,	  128.166762,	  118.064267,	  116.778028,	    0.484344,	    0.448589,	    0.440715,	  217.013070,	  196.788818,	  214.915059,	   48.973187,	44002.998013,	   -9.502543,	    1.000000,	    0.000000,	   -0.000000
    0.035375,	  130.022311,	  118.297215,	  120.399668,	    0.491674,	    0.449258,	    0.454017,	  217.494793,	  200.186965,	  220.928793,	   51.900898,	45396.112497,	   -9.850733,	    1.000000,	    0.000000,	   -0.000000
    0.035792,	  131.416792,	  118.835781,	  124.177001,	    0.497258,	    0.450973,	    0.468015,	  217.634337,	  204.483172,	  226.403752,	   52.399108,	46812.243761,	  -10.181505,	    1.000000,	    0.000000,	   -0.000000
    0.036208,	  132.375458,	  119.788156,	  127.982577,	    0.501181,	    0.454146,	    0.482220,	  217.635908,	  209.604920,	  231.206404,	   51.022798,	48252.004040,	  -10.603642,	    1.000000,	    0.000000,	   -0.000000
    0.036625,	  132.953071,	  121.230176,	  131.688792,	    0.503634,	    0.459074,	    0.496147,	  217.726001,	  215.408607,	  235.244891,	   48.424474,	49715.212695,	  -11.264217,	    1.000000,	    0.000000,	   -0.000000
    0.037042,	  133.230857,	  123.195636,	  135.178550,	    0.504896,	    0.465922,	    0.509360,	  218.133013,	  221.698779,	  238.474818,	   51.529552,	51200.866297,	  -12.772136,	    1.000000,	    0.000000,	   -0.000000
    0.037458,	  133.310886,	  125.677441,	  138.353870,	    0.505325,	    0.474715,	    0.521484,	  219.069464,	  228.257383,	  240.899050,	   52.668755,	52708.404908,	  -15.171676,	    1.000000,	    0.000000,	   -0.000000
    0.037875,	  133.311804,	  128.631139,	  141.139352,	    0.505354,	    0.485330,	    0.532217,	  220.716329,	  234.862802,	  242.566975,	   51.487348,	54238.323752,	  -16.036919,	    1.000000,	    0.000000,	   -0.000000
    0.038292,	  133.363440,	  131.979584,	  143.483414,	    0.505460,	    0.497492,	    0.541339,	  223.206956,	  241.301458,	  243.573364,	   48.602314,	55791.907488,	  -12.888189,	    1.000000,	    0.000000,	   -0.000000
    0.038708,	  133.597890,	  135.613591,	  145.358531,	    0.506137,	    0.510815,	    0.548725,	  226.604903,	  247.369967,	  244.057270,	   51.053936,	57368.544645,	   -7.836301,	    1.000000,	    0.000000,	    0.000000
    0.039125,	  134.137979,	  139.405689,	  146.764888,	    0.507857,	    0.524852,	    0.554356,	  230.898148,	  252.892783,	  244.196465,	   52.265017,	58966.875891,	   -4.513025,	    1.000000,	    0.000000,	    0.000000
    0.039542,	  135.088169,	  143.228681,	  147.732055,	    0.511032,	    0.539131,	    0.558315,	  236.012239,	  257.739437,	  244.198059,	   51.489016,	60588.028776,	   -4.631514,	    1.000000,	   -0.000000,	    0.000000
    0.039958,	  136.524959,	  146.959214,	  148.315930,	    0.515968,	    0.553160,	    0.560786,	  241.815085,	  261.820907,	  244.287431,	   48.713556,	62233.690461,	   -6.470404,	    1.000000,	   -0.000000,	    0.000000
