[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.027458,	28.102\250.468,	 1.481\213.594,	   48.590537,	   -1.#IND00,	   26.621220,	   36.873985,	   -1.#IND00,	   -1.#IND00
    0.027875,	29.453\258.527,	 1.273\229.557,	   49.760074,	   -1.#IND00,	   28.179301,	   28.969804,	   -1.#IND00,	   -1.#IND00
    0.028292,	30.852\266.208,	 1.179\250.566,	   54.404906,	   -1.#IND00,	   29.673218,	   15.641267,	   -1.#IND00,	   -1.#IND00
    0.028708,	32.235\273.548,	 1.244\272.907,	   54.115582,	   68.673597,	   30.991002,	    0.641496,	  -14.558016,	  -91.470709
    0.029125,	33.544\280.612,	 1.447\291.631,	   50.706291,	   97.114233,	   32.096602,	  -11.018515,	  -46.407943,	 -291.589698
    0.029542,	34.747\287.465,	 1.744\305.300,	   50.198242,	  124.482359,	   33.002616,	  -17.835410,	  -74.284117,	 -466.740867
    0.029958,	35.818\294.169,	 2.092\314.878,	   53.242320,	  151.211907,	   33.726209,	  -20.708338,	  -97.969587,	 -615.561060
    0.030375,	36.735\300.791,	 2.455\321.843,	   53.280510,	  143.755766,	   34.279855,	  -21.052451,	  -90.475257,	 -568.472793
    0.030792,	37.486\307.390,	 2.812\327.235,	   50.506363,	  101.107523,	   34.674723,	  -19.844718,	  -50.601160,	 -317.936462
    0.031208,	38.071\314.020,	 3.144\331.644,	   49.728010,	   88.419111,	   34.927004,	  -17.623958,	  -38.691101,	 -243.103353
    0.031625,	38.495\320.732,	 3.441\335.340,	   52.452139,	  121.063791,	   35.054208,	  -14.608132,	  -68.611652,	 -431.099716
    0.032042,	38.770\327.583,	 3.697\338.455,	   53.206359,	   96.105048,	   35.072813,	  -10.872512,	  -42.898689,	 -269.540405
    0.032458,	38.912\334.635,	 3.903\341.264,	   51.564393,	   -1.#IND00,	   35.009037,	   -6.629496,	   -1.#IND00,	   -1.#IND00
    0.032875,	38.958\341.930,	 4.051\344.019,	   50.615789,	   -1.#IND00,	   34.906176,	   -2.088875,	   -1.#IND00,	   -1.#IND00
    0.033292,	38.951\349.484,	 4.132\346.858,	   52.059869,	   -1.#IND00,	   34.818405,	    2.625219,	   -1.#IND00,	   -1.#IND00
    0.033708,	38.940\357.297,	 4.143\349.702,	   52.360405,	   -1.#IND00,	   34.797471,	    7.594966,	   -1.#IND00,	   -1.#IND00
    0.034125,	38.974\ 5.363,	 4.087\352.203,	   51.248935,	   -1.#IND00,	   34.887273,	   13.159657,	   -1.#IND00,	   -1.#IND00
    0.034542,	39.102\13.657,	 3.977\354.169,	   48.973187,	   -1.#IND00,	   35.124537,	   19.487928,	   -1.#IND00,	   -1.#IND00
    0.034958,	39.365\22.127,	 3.828\355.692,	   51.900898,	   -1.#IND00,	   35.537298,	   26.434848,	   -1.#IND00,	   -1.#IND00
    0.035375,	39.797\30.702,	 3.652\356.950,	   52.399108,	   -1.#IND00,	   36.144909,	   33.751788,	   -1.#IND00,	   -1.#IND00
    0.035792,	40.419\39.309,	 3.459\358.171,	   51.022798,	   -1.#IND00,	   36.960387,	   41.137983,	   -1.#IND00,	   -1.#IND00
    0.036208,	41.241\47.872,	 3.252\359.826,	   48.424474,	   -1.#IND00,	   37.988971,	   48.045709,	   -1.#IND00,	   -1.#IND00
    0.036625,	42.251\56.312,	 3.029\ 2.811,	   51.529552,	   -1.#IND00,	   39.221994,	   53.501832,	   -1.#IND00,	   -1.#IND00
    0.037042,	43.417\64.567,	 2.783\ 8.154,	   52.668755,	   -1.#IND00,	   40.634146,	   56.413116,	   -1.#IND00,	   -1.#IND00
    0.037458,	44.698\72.597,	 2.514\16.566,	   51.487348,	   -1.#IND00,	   42.183361,	   56.031515,	   -1.#IND00,	   -1.#IND00
    0.037875,	46.051\80.391,	 2.244\28.700,	   48.602314,	   -1.#IND00,	   43.806320,	   51.690975,	   -1.#IND00,	   -1.#IND00
    0.038292,	47.432\87.952,	 2.030\45.493,	   51.053936,	   -1.#IND00,	   45.401685,	   42.459597,	   -1.#IND00,	   -1.#IND00
    0.038708,	48.794\95.300,	 1.971\66.769,	   52.265017,	   52.442433,	   46.822763,	   28.530643,	   -0.177416,	   -1.114738
    0.039125,	50.089\102.463,	 2.151\88.941,	   51.489016,	   86.311686,	   47.938656,	   13.522329,	  -34.822671,	 -218.797289
    0.039542,	51.282\109.480,	 2.556\107.627,	   48.713556,	  114.121949,	   48.725824,	    1.852383,	  -65.408392,	 -410.973043
    0.039958,	52.343\116.390,	 3.104\121.845,	   50.742921,	  133.927122,	   49.239559,	   -5.454602,	  -83.184202,	 -522.661745
    0.040375,	53.248\123.239,	 3.729\132.424,	   52.088508,	  133.708370,	   49.518604,	   -9.184828,	  -81.619863,	 -512.832714
    0.040792,	53.979\130.074,	 4.397\140.209,	   51.694130,	   92.838167,	   49.582387,	  -10.135463,	  -41.144037,	 -258.515602
    0.041208,	54.534\136.940,	 5.068\146.094,	   49.054359,	   83.916532,	   49.465377,	   -9.154433,	  -34.862173,	 -219.045490
    0.041625,	54.922\143.877,	 5.708\150.821,	   50.595403,	   95.061229,	   49.213788,	   -6.944675,	  -44.465827,	 -279.387023
    0.042042,	55.165\150.918,	 6.291\154.810,	   51.689991,	   89.025323,	   48.873978,	   -3.891399,	  -37.335332,	 -234.584804
    0.042458,	55.288\158.098,	 6.801\158.209,	   51.557197,	   -1.#IND00,	   48.487183,	   -0.110124,	   -1.#IND00,	   -1.#IND00
    0.042875,	55.326\165.446,	 7.227\161.142,	   49.261538,	   -1.#IND00,	   48.098871,	    4.303738,	   -1.#IND00,	   -1.#IND00
    0.043292,	55.322\172.975,	 7.552\163.946,	   50.641403,	   -1.#IND00,	   47.770342,	    9.029252,	   -1.#IND00,	   -1.#IND00
    0.043708,	55.325\180.690,	 7.755\166.893,	   51.576467,	   -1.#IND00,	   47.569495,	   13.796508,	   -1.#IND00,	   -1.#IND00
    0.044125,	55.381\188.583,	 7.823\169.944,	   50.256349,	   -1.#IND00,	   47.557104,	   18.638987,	   -1.#IND00,	   -1.#IND00
    0.044542,	55.537\196.635,	 7.754\173.000,	   49.105403,	   -1.#IND00,	   47.783724,	   23.634264,	   -1.#IND00,	   -1.#IND00
    0.044958,	55.836\204.809,	 7.548\176.127,	   50.507350,	   -1.#IND00,	   48.287363,	   28.681575,	   -1.#IND00,	   -1.#IND00
    0.045375,	56.304\213.055,	 7.213\179.554,	   51.661626,	   -1.#IND00,	   49.090586,	   33.501603,	   -1.#IND00,	   -1.#IND00
    0.045792,	56.958\221.318,	 6.758\183.564,	   50.477756,	   -1.#IND00,	   50.200451,	   37.753484,	   -1.#IND00,	   -1.#IND00
    0.046208,	57.801\229.545,	 6.192\188.355,	   49.129702,	   -1.#IND00,	   51.608538,	   41.190324,	   -1.#IND00,	   -1.#IND00
