[mea_500kV_1]二次侧数据---kV/kA
	TIME	Va	Vb	Vc	Ia	Ib	Ic	Vab	Vbc	Vca	freq	P	Q	pf	3I0	3V0
    0.292875,	   70.496525,	   59.294457,	   56.240093,	    0.000000,	    0.000000,	    0.000000,	   83.259254,	   50.261574,	   95.816766,	   49.999992,	11648.540696,	-2074.094408,	    0.984515,	    0.000000,	   38.871086
    0.299542,	   70.496515,	   59.294449,	   48.051481,	    0.000000,	    0.000000,	    0.000000,	   83.180059,	   54.718111,	   85.922828,	   49.999992,	10794.535132,	-3391.105166,	    0.954031,	    0.000000,	    1.506828
    0.306208,	   70.496519,	   59.294452,	   39.942240,	    0.000000,	    0.000000,	    0.000000,	   97.579853,	   45.966292,	   92.708727,	   49.999991,	10080.973733,	-1993.011613,	    0.981012,	    0.000000,	  -40.377505
    0.312875,	   70.496525,	   59.294456,	   56.240100,	    0.000000,	    0.000000,	    0.000000,	   83.259235,	   50.261589,	   95.816755,	   49.999992,	11648.541454,	-2074.096645,	    0.984515,	    0.000000,	   38.870439
    0.319542,	   70.496515,	   59.294449,	   48.051457,	    0.000000,	    0.000000,	    0.000000,	   83.180076,	   54.718107,	   85.922831,	   49.999992,	10794.532822,	-3391.104943,	    0.954031,	    0.000000,	    1.507177
    0.326208,	   70.496519,	   59.294453,	   39.942256,	    0.000000,	    0.000000,	    0.000000,	   97.579853,	   45.966285,	   92.708749,	   49.999992,	10080.975037,	-1993.009847,	    0.981012,	    0.000000,	  -40.377620
    0.332875,	   70.496525,	   59.294456,	   56.240111,	    0.000000,	    0.000000,	    0.000000,	   83.259217,	   50.261603,	   95.816748,	   49.999992,	11648.542641,	-2074.098418,	    0.984515,	    0.000000,	   38.870406
    0.339542,	   70.496515,	   59.294449,	   48.051438,	    0.000000,	    0.000000,	    0.000000,	   83.180094,	   54.718106,	   85.922825,	   49.999992,	10794.530938,	-3391.104981,	    0.954031,	    0.000000,	    1.507250
    0.346208,	   70.496518,	   59.294453,	   39.942267,	    0.000000,	    0.000000,	    0.000000,	   97.579853,	   45.966279,	   92.708761,	   49.999992,	10080.975955,	-1993.008282,	    0.981012,	    0.000000,	  -40.377655
    0.352875,	   70.496525,	   59.294456,	   56.240119,	    0.000000,	    0.000000,	    0.000000,	   83.259199,	   50.261614,	   95.816741,	   49.999993,	11648.543562,	-2074.100024,	    0.984515,	    0.000000,	   38.870383
    0.359542,	   70.496515,	   59.294448,	   48.051419,	    0.000000,	    0.000000,	    0.000000,	   83.180111,	   54.718103,	   85.922820,	   49.999993,	10794.529143,	-3391.104911,	    0.954031,	    0.000000,	    1.507290
    0.366208,	   70.496518,	   59.294453,	   39.942279,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966273,	   92.708772,	   49.999993,	10080.976892,	-1993.006775,	    0.981012,	    0.000000,	  -40.377664
    0.372875,	   70.496525,	   59.294456,	   56.240127,	    0.000000,	    0.000000,	    0.000000,	   83.259181,	   50.261624,	   95.816734,	   49.999993,	11648.544393,	-2074.101656,	    0.984515,	    0.000000,	   38.870343
    0.379542,	   70.496515,	   59.294448,	   48.051400,	    0.000000,	    0.000000,	    0.000000,	   83.180129,	   54.718099,	   85.922816,	   49.999993,	10794.527343,	-3391.104812,	    0.954031,	    0.000000,	    1.507348
    0.386208,	   70.496518,	   59.294453,	   39.942291,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966267,	   92.708783,	   49.999993,	10080.977862,	-1993.005250,	    0.981012,	    0.000000,	  -40.377689
    0.392875,	   70.496525,	   59.294456,	   56.240134,	    0.000000,	    0.000000,	    0.000000,	   83.259162,	   50.261634,	   95.816726,	   49.999993,	11648.545213,	-2074.103291,	    0.984515,	    0.000000,	   38.870315
    0.399542,	   70.496515,	   59.294448,	   48.051382,	    0.000000,	    0.000000,	    0.000000,	   83.180147,	   54.718095,	   85.922811,	   49.999993,	10794.525534,	-3391.104718,	    0.954031,	    0.000000,	    1.507400
