[mea_500kV_1]同期数据---kV/kA
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-Theta		Delta-f		Delta-w
    2.432458,	99.697\346.177,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713934,	  148.143169,	   -1.#IND00,	   -1.#IND00
    2.439125,	99.697\106.177,	 2.230\25.201,	   49.999993,	   -1.#IND00,	   97.466628,	   80.976379,	   -1.#IND00,	   -1.#IND00
    2.445791,	99.697\226.177,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913054,	  213.879481,	   -1.#IND00,	   -1.#IND00
    2.452458,	99.697\346.177,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713934,	  148.143108,	   -1.#IND00,	   -1.#IND00
    2.459125,	99.697\106.177,	 2.230\25.201,	   49.999993,	   -1.#IND00,	   97.466632,	   80.976303,	   -1.#IND00,	   -1.#IND00
    2.465791,	99.697\226.177,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913050,	  213.879411,	   -1.#IND00,	   -1.#IND00
    2.472458,	99.697\346.177,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713934,	  148.143046,	   -1.#IND00,	   -1.#IND00
    2.479125,	99.697\106.177,	 2.230\25.201,	   49.999993,	   -1.#IND00,	   97.466637,	   80.976227,	   -1.#IND00,	   -1.#IND00
    2.485791,	99.697\226.177,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913045,	  213.879342,	   -1.#IND00,	   -1.#IND00
    2.492458,	99.697\346.177,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713935,	  148.142985,	   -1.#IND00,	   -1.#IND00
    2.499125,	99.697\106.177,	 2.230\25.201,	   49.999993,	   -1.#IND00,	   97.466641,	   80.976151,	   -1.#IND00,	   -1.#IND00
