[mea_500kV_1]同期数据---kV/kA
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-Theta		Delta-f		Delta-w
    0.939125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466294,	   80.982089,	   -1.#IND00,	   -1.#IND00
    0.945792,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913364,	  213.884693,	   -1.#IND00,	   -1.#IND00
    0.952458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713910,	  148.147706,	   -1.#IND00,	   -1.#IND00
    0.959125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466299,	   80.982013,	   -1.#IND00,	   -1.#IND00
    0.965792,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913360,	  213.884624,	   -1.#IND00,	   -1.#IND00
    0.972458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713910,	  148.147645,	   -1.#IND00,	   -1.#IND00
    0.979125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466303,	   80.981937,	   -1.#IND00,	   -1.#IND00
    0.985792,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913356,	  213.884554,	   -1.#IND00,	   -1.#IND00
    0.992458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713910,	  148.147583,	   -1.#IND00,	   -1.#IND00
    0.999125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466308,	   80.981861,	   -1.#IND00,	   -1.#IND00
    1.005792,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913352,	  213.884485,	   -1.#IND00,	   -1.#IND00
    1.012458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713911,	  148.147522,	   -1.#IND00,	   -1.#IND00
    1.019125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466312,	   80.981785,	   -1.#IND00,	   -1.#IND00
    1.025792,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913348,	  213.884415,	   -1.#IND00,	   -1.#IND00
    1.032458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713911,	  148.147461,	   -1.#IND00,	   -1.#IND00
    1.039125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466317,	   80.981709,	   -1.#IND00,	   -1.#IND00
    1.045791,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913344,	  213.884346,	   -1.#IND00,	   -1.#IND00
    1.052458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713911,	  148.147400,	   -1.#IND00,	   -1.#IND00
    1.059125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466321,	   80.981633,	   -1.#IND00,	   -1.#IND00
    1.065791,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913339,	  213.884276,	   -1.#IND00,	   -1.#IND00
    1.072458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713912,	  148.147338,	   -1.#IND00,	   -1.#IND00
    1.079125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466326,	   80.981557,	   -1.#IND00,	   -1.#IND00
