[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.026208,	24.786\224.028,	 3.164\342.349,	   52.165520,	   -1.#IND00,	   21.622154,	 -118.320890,	   -1.#IND00,	   -1.#IND00
    0.026625,	25.738\233.193,	 3.262\345.133,	   55.798322,	   -1.#IND00,	   22.476567,	 -111.940028,	   -1.#IND00,	   -1.#IND00
    0.027042,	26.853\242.019,	 3.307\347.834,	   53.200864,	   -1.#IND00,	   23.545381,	 -105.814926,	   -1.#IND00,	   -1.#IND00
    0.027458,	28.102\250.468,	 3.299\350.508,	   48.590537,	   -1.#IND00,	   24.803194,	 -100.040071,	   -1.#IND00,	   -1.#IND00
    0.027875,	29.453\258.527,	 3.236\353.288,	   49.760074,	   -1.#IND00,	   26.216367,	  -94.761266,	   -1.#IND00,	   -1.#IND00
    0.028292,	30.852\266.208,	 3.120\356.384,	   54.404906,	   -1.#IND00,	   27.731831,	  -90.176427,	   -1.#IND00,	   -1.#IND00
    0.028708,	32.235\273.548,	 2.952\359.946,	   54.115582,	   -1.#IND00,	   29.282173,	  -86.397389,	   -1.#IND00,	   -1.#IND00
    0.029125,	33.544\280.612,	 2.736\ 4.049,	   50.706291,	   -1.#IND00,	   30.808472,	  -83.436489,	   -1.#IND00,	   -1.#IND00
    0.029542,	34.747\287.465,	 2.478\ 9.010,	   50.198242,	   -1.#IND00,	   32.269037,	  -81.545579,	   -1.#IND00,	   -1.#IND00
    0.029958,	35.818\294.169,	 2.192\15.451,	   53.242320,	   -1.#IND00,	   33.626297,	  -81.281898,	   -1.#IND00,	   -1.#IND00
    0.030375,	36.735\300.791,	 1.894\24.187,	   53.280510,	   -1.#IND00,	   34.840811,	  -83.395812,	   -1.#IND00,	   -1.#IND00
    0.030792,	37.486\307.390,	 1.614\36.396,	   50.506363,	   -1.#IND00,	   35.871873,	  -89.005429,	   -1.#IND00,	   -1.#IND00
    0.031208,	38.071\314.020,	 1.399\53.405,	   49.728010,	   -1.#IND00,	   36.671788,	  -99.385077,	   -1.#IND00,	   -1.#IND00
    0.031625,	38.495\320.732,	 1.316\74.990,	   52.452139,	    9.990789,	   37.179938,	 -114.258323,	   42.461350,	  266.792528
    0.032042,	38.770\327.583,	 1.413\96.971,	   53.206359,	   75.409499,	   37.356979,	 -129.388269,	  -22.203140,	 -139.506439
    0.032458,	38.912\334.635,	 1.666\114.667,	   51.564393,	  104.701961,	   37.246829,	 -140.032264,	  -53.137568,	 -333.873180
    0.032875,	38.958\341.930,	 2.012\127.388,	   50.615789,	  128.406589,	   36.945673,	 -145.457629,	  -77.790801,	 -488.774007
    0.033292,	38.951\349.484,	 2.411\136.252,	   52.059869,	  152.956023,	   36.540194,	 -146.768538,	 -100.896154,	 -633.949222
    0.033708,	38.940\357.297,	 2.826\142.710,	   52.360405,	  139.709773,	   36.114318,	 -145.413194,	  -87.349368,	 -548.832253
    0.034125,	38.974\ 5.363,	 3.217\148.119,	   51.248935,	  102.423588,	   35.757038,	 -142.755378,	  -51.174653,	 -321.539822
    0.034542,	39.102\13.657,	 3.553\153.178,	   48.973187,	  108.584986,	   35.548748,	 -139.521087,	  -59.611798,	 -374.551969
    0.034958,	39.365\22.127,	 3.811\158.083,	   51.900898,	  141.436119,	   35.553969,	 -135.956351,	  -89.535221,	 -562.566376
    0.035375,	39.797\30.702,	 3.980\162.733,	   52.399108,	  107.661565,	   35.816741,	 -132.030401,	  -55.262457,	 -347.224253
    0.035792,	40.419\39.309,	 4.054\167.059,	   51.022798,	   -1.#IND00,	   36.365625,	 -127.749637,	   -1.#IND00,	   -1.#IND00
    0.036208,	41.241\47.872,	 4.030\171.104,	   48.424474,	   -1.#IND00,	   37.211347,	 -123.232504,	   -1.#IND00,	   -1.#IND00
    0.036625,	42.251\56.312,	 3.917\174.585,	   51.529552,	   -1.#IND00,	   38.334041,	 -118.272552,	   -1.#IND00,	   -1.#IND00
    0.037042,	43.417\64.567,	 3.733\177.097,	   52.668755,	   -1.#IND00,	   39.684457,	 -112.530444,	   -1.#IND00,	   -1.#IND00
    0.037458,	44.698\72.597,	 3.501\178.674,	   51.487348,	   -1.#IND00,	   41.196210,	 -106.077189,	   -1.#IND00,	   -1.#IND00
    0.037875,	46.051\80.391,	 3.249\179.666,	   48.602314,	   -1.#IND00,	   42.801798,	  -99.275458,	   -1.#IND00,	   -1.#IND00
    0.038292,	47.432\87.952,	 2.992\180.489,	   51.053936,	   -1.#IND00,	   44.440348,	  -92.537083,	   -1.#IND00,	   -1.#IND00
    0.038708,	48.794\95.300,	 2.738\181.383,	   52.265017,	   -1.#IND00,	   46.055679,	  -86.083204,	   -1.#IND00,	   -1.#IND00
    0.039125,	50.089\102.463,	 2.491\182.351,	   51.489016,	   -1.#IND00,	   47.598137,	  -79.888274,	   -1.#IND00,	   -1.#IND00
    0.039542,	51.282\109.480,	 2.254\183.883,	   48.713556,	   -1.#IND00,	   49.028493,	  -74.402718,	   -1.#IND00,	   -1.#IND00
    0.039958,	52.343\116.390,	 2.025\187.110,	   50.742921,	   -1.#IND00,	   50.318784,	  -70.720054,	   -1.#IND00,	   -1.#IND00
    0.040375,	53.248\123.239,	 1.797\192.537,	   52.088508,	   -1.#IND00,	   51.451040,	  -69.298794,	   -1.#IND00,	   -1.#IND00
    0.040792,	53.979\130.074,	 1.566\200.001,	   51.694130,	   -1.#IND00,	   52.412822,	  -69.927582,	   -1.#IND00,	   -1.#IND00
    0.041208,	54.534\136.940,	 1.342\209.946,	   49.054359,	   -1.#IND00,	   53.191217,	  -73.006465,	   -1.#IND00,	   -1.#IND00
    0.041625,	54.922\143.877,	 1.153\223.679,	   50.595403,	   -1.#IND00,	   53.768868,	  -79.802764,	   -1.#IND00,	   -1.#IND00
    0.042042,	55.165\150.918,	 1.046\242.147,	   51.689991,	   -1.#IND00,	   54.118743,	  -91.228822,	   -1.#IND00,	   -1.#IND00
    0.042458,	55.288\158.098,	 1.049\262.977,	   51.557197,	   -1.#IND00,	   54.238797,	 -104.878703,	   -1.#IND00,	   -1.#IND00
    0.042875,	55.326\165.446,	 1.150\282.093,	   49.261538,	   -1.#IND00,	   54.175772,	 -116.647074,	   -1.#IND00,	   -1.#IND00
