[mea_500kV_1]一次侧数据---kV/kA
TIME		Va		Vb		Vc		Ia		Ib		Ic		Vab		Vbc		Vca		freq		P		Q		pf		3I0		3V0
    0.116208,	  280.994484,	  280.994270,	  280.993841,	    1.050011,	    1.049994,	    1.049976	  486.696847,	  486.695734,	  486.696103,	   50.000389,	236873.218427,	   -0.886175,	    1.000000,	    0.000000,	   -0.000000
    0.116625,	  280.994213,	  280.994689,	  280.994174,	    1.050014,	    1.049994,	    1.049979	  486.696826,	  486.696758,	  486.695934,	   49.998580,	236873.489106,	    0.306201,	    1.000000,	    0.000000,	   -0.000000
    0.117042,	  280.994144,	  280.994713,	  280.994042,	    1.050016,	    1.049992,	    1.049983	  486.696851,	  486.696673,	  486.695687,	   50.001210,	236873.389302,	    1.468739,	    1.000000,	    0.000000,	   -0.000000
    0.117458,	  280.994291,	  280.994071,	  280.993666,	    1.050018,	    1.049991,	    1.049987	  486.696495,	  486.695413,	  486.695795,	   50.000678,	236872.899932,	    1.145086,	    1.000000,	    0.000000,	   -0.000000
    0.117875,	  280.994401,	  280.993335,	  280.993497,	    1.050019,	    1.049993,	    1.049992	  486.695870,	  486.694304,	  486.696152,	   49.999191,	236872.453317,	    0.145280,	    1.000000,	    0.000000,	   -0.000000
    0.118292,	  280.994402,	  280.993670,	  280.993853,	    1.050019,	    1.049996,	    1.049997	  486.696052,	  486.695102,	  486.696369,	   50.001874,	236872.841525,	    0.344377,	    1.000000,	   -0.000000,	   -0.000000
    0.118708,	  280.994508,	  280.995026,	  280.994298,	    1.050019,	    1.049995,	    1.049999	  486.697484,	  486.697120,	  486.696223,	   49.999168,	236873.913523,	    1.030224,	    1.000000,	    0.000000,	    0.000000
    0.119125,	  280.994494,	  280.994658,	  280.994063,	    1.050017,	    1.049991,	    1.050000	  486.697179,	  486.696432,	  486.696148,	   49.999757,	236873.567212,	    0.432451,	    1.000000,	   -0.000000,	    0.000000
    0.119542,	  280.994256,	  280.993645,	  280.993828,	    1.050016,	    1.049990,	    1.050002	  486.695870,	  486.695128,	  486.696187,	   50.000617,	236872.731978,	   -0.838996,	    1.000000,	    0.000000,	    0.000000
    0.119958,	  280.994179,	  280.993620,	  280.993897,	    1.050015,	    1.049991,	    1.050005	  486.695712,	  486.695224,	  486.696192,	   49.998641,	236872.713238,	   -1.451422,	    1.000000,	   -0.000000,	    0.000000
    0.120375,	  280.994355,	  280.994145,	  280.993990,	    1.050013,	    1.049991,	    1.050006	  486.696467,	  486.695835,	  486.696199,	   50.001065,	236873.159078,	   -0.157493,	    1.000000,	   -0.000000,	    0.000000
    0.120792,	  280.994454,	  280.994281,	  280.993989,	    1.050011,	    1.049990,	    1.050007	  486.696739,	  486.695935,	  486.696234,	   50.000942,	236873.291021,	    1.283863,	    1.000000,	    0.000000,	    0.000000
    0.121208,	  280.994224,	  280.993792,	  280.993955,	    1.050008,	    1.049988,	    1.050007	  486.695929,	  486.695464,	  486.696211,	   49.998337,	236872.868102,	    0.948407,	    1.000000,	    0.000000,	    0.000000
    0.121625,	  280.993643,	  280.993049,	  280.993953,	    1.050006,	    1.049990,	    1.050007	  486.694401,	  486.694938,	  486.695967,	   50.001363,	236872.122195,	    0.049759,	    1.000000,	   -0.000000,	    0.000000
    0.122042,	  280.993933,	  280.993671,	  280.993900,	    1.050005,	    1.049991,	    1.050007	  486.695485,	  486.695428,	  486.695882,	   49.999608,	236872.605204,	   -0.283757,	    1.000000,	    0.000000,	    0.000000
    0.122458,	  280.994502,	  280.994271,	  280.993840,	    1.050002,	    1.049990,	    1.050007	  486.696869,	  486.695723,	  486.696123,	   49.999641,	236873.228677,	   -0.282223,	    1.000000,	   -0.000000,	    0.000000
    0.122875,	  280.994348,	  280.993973,	  280.993960,	    1.049998,	    1.049988,	    1.050006	  486.696279,	  486.695606,	  486.696256,	   50.000866,	236873.042190,	   -0.115380,	    1.000000,	   -0.000000,	    0.000000
    0.123292,	  280.993844,	  280.993587,	  280.994080,	    1.049995,	    1.049988,	    1.050005	  486.695181,	  486.695590,	  486.696035,	   49.998383,	236872.609125,	   -0.418385,	    1.000000,	    0.000000,	    0.000000
    0.123708,	  280.993726,	  280.993579,	  280.994021,	    1.049994,	    1.049988,	    1.050004	  486.695071,	  486.695581,	  486.695836,	   50.000397,	236872.505873,	   -0.742193,	    1.000000,	   -0.000000,	    0.000000
    0.124125,	  280.993876,	  280.993674,	  280.993887,	    1.049992,	    1.049989,	    1.050002	  486.695431,	  486.695450,	  486.695799,	   50.001734,	236872.568167,	   -0.538207,	    1.000000,	   -0.000000,	    0.000000
    0.124542,	  280.994191,	  280.993740,	  280.993800,	    1.049990,	    1.049988,	    1.050001	  486.695920,	  486.695243,	  486.696024,	   49.999145,	236872.732839,	   -0.349177,	    1.000000,	   -0.000000,	    0.000000
    0.124958,	  280.993863,	  280.993729,	  280.994061,	    1.049987,	    1.049988,	    1.050000	  486.695378,	  486.695722,	  486.695953,	   50.001150,	236872.689202,	   -0.014744,	    1.000000,	   -0.000000,	    0.000000
    0.125375,	  280.993559,	  280.993780,	  280.994115,	    1.049987,	    1.049988,	    1.049998	  486.695054,	  486.696018,	  486.695635,	   49.999655,	236872.577065,	    0.097584,	    1.000000,	   -0.000000,	    0.000000
    0.125792,	  280.993785,	  280.993622,	  280.993797,	    1.049986,	    1.049988,	    1.049997	  486.695318,	  486.695337,	  486.695620,	   49.999945,	236872.436781,	   -0.309606,	    1.000000,	   -0.000000,	    0.000000
    0.126208,	  280.994012,	  280.993463,	  280.993732,	    1.049984,	    1.049989,	    1.049996	  486.695434,	  486.694948,	  486.695900,	   50.000747,	236872.438974,	   -0.712248,	    1.000000,	   -0.000000,	    0.000000
    0.126625,	  280.993904,	  280.993693,	  280.993992,	    1.049983,	    1.049989,	    1.049995	  486.695423,	  486.695577,	  486.695941,	   49.999174,	236872.652868,	   -0.579087,	    1.000000,	   -0.000000,	    0.000000
    0.127042,	  280.993794,	  280.993940,	  280.994129,	    1.049982,	    1.049989,	    1.049994	  486.695503,	  486.696084,	  486.695830,	   50.000149,	236872.807266,	   -0.151721,	    1.000000,	   -0.000000,	    0.000000
    0.127458,	  280.993733,	  280.994089,	  280.994119,	    1.049982,	    1.049989,	    1.049992	  486.695609,	  486.696279,	  486.695662,	   50.000885,	236872.850544,	   -0.100869,	    1.000000,	   -0.000000,	    0.000000
    0.127875,	  280.993780,	  280.993626,	  280.993875,	    1.049982,	    1.049988,	    1.049991	  486.695272,	  486.695435,	  486.695702,	   49.999127,	236872.480123,	   -0.828216,	    1.000000,	   -0.000000,	    0.000000
    0.128292,	  280.993784,	  280.993421,	  280.993868,	    1.049982,	    1.049990,	    1.049990	  486.695042,	  486.695188,	  486.695817,	   50.001018,	236872.362612,	   -0.909006,	    1.000000,	   -0.000000,	    0.000000
    0.128708,	  280.993822,	  280.993992,	  280.994101,	    1.049982,	    1.049991,	    1.049990	  486.695611,	  486.696095,	  486.695800,	   49.999544,	236872.836246,	   -0.267560,	    1.000000,	   -0.000000,	   -0.000000
    0.129125,	  280.993879,	  280.994226,	  280.994107,	    1.049982,	    1.049990,	    1.049989	  486.695945,	  486.696338,	  486.695738,	   49.999954,	236873.003315,	    0.327445,	    1.000000,	   -0.000000,	   -0.000000
    0.129542,	  280.993772,	  280.993731,	  280.993977,	    1.049982,	    1.049990,	    1.049988	  486.695325,	  486.695679,	  486.695750,	   50.000608,	236872.592168,	    0.188519,	    1.000000,	   -0.000000,	   -0.000000
    0.129958,	  280.993717,	  280.993654,	  280.993996,	    1.049983,	    1.049991,	    1.049988	  486.695160,	  486.695643,	  486.695752,	   49.998982,	236872.527814,	   -0.474012,	    1.000000,	    0.000000,	   -0.000000
    0.130375,	  280.993738,	  280.993809,	  280.994043,	    1.049984,	    1.049992,	    1.049988	  486.695336,	  486.695865,	  486.695743,	   50.000327,	236872.653745,	   -0.628863,	    1.000000,	    0.000000,	   -0.000000
    0.130792,	  280.993960,	  280.994287,	  280.994091,	    1.049985,	    1.049992,	    1.049987	  486.696117,	  486.696344,	  486.695778,	   50.000929,	236873.073942,	   -0.028600,	    1.000000,	   -0.000000,	   -0.000000
    0.131208,	  280.994047,	  280.994342,	  280.994084,	    1.049985,	    1.049991,	    1.049987	  486.696285,	  486.696349,	  486.695837,	   49.998691,	236873.149310,	   -0.014513,	    1.000000,	   -0.000000,	   -0.000000
    0.131625,	  280.993767,	  280.993858,	  280.994080,	    1.049985,	    1.049991,	    1.049987	  486.695405,	  486.695948,	  486.695789,	   50.000844,	236872.718143,	   -0.261744,	    1.000000,	   -0.000000,	   -0.000000
    0.132042,	  280.993646,	  280.993818,	  280.994071,	    1.049987,	    1.049993,	    1.049987	  486.695224,	  486.695960,	  486.695662,	   49.999920,	236872.622382,	   -0.349083,	    1.000000,	    0.000000,	   -0.000000
    0.132458,	  280.993974,	  280.994236,	  280.994012,	    1.049988,	    1.049993,	    1.049987	  486.696121,	  486.696186,	  486.695732,	   49.999608,	236873.009031,	   -0.198078,	    1.000000,	    0.000000,	   -0.000000
    0.132875,	  280.994029,	  280.994240,	  280.994030,	    1.049988,	    1.049993,	    1.049987	  486.696178,	  486.696180,	  486.695813,	   50.001045,	236873.051955,	    0.170726,	    1.000000,	    0.000000,	   -0.000000
    0.133292,	  280.993950,	  280.994163,	  280.994064,	    1.049989,	    1.049993,	    1.049988	  486.695977,	  486.696176,	  486.695807,	   49.999148,	236872.983587,	    0.228489,	    1.000000,	    0.000000,	   -0.000000
    0.133708,	  280.993811,	  280.994098,	  280.994079,	    1.049990,	    1.049993,	    1.049988	  486.695734,	  486.696198,	  486.695700,	   49.999555,	236872.876985,	   -0.049261,	    1.000000,	    0.000000,	   -0.000000
    0.134125,	  280.993856,	  280.994137,	  280.994012,	    1.049991,	    1.049994,	    1.049988	  486.695870,	  486.696140,	  486.695653,	   50.001368,	236872.887134,	   -0.130074,	    1.000000,	    0.000000,	   -0.000000
    0.134542,	  280.994128,	  280.994203,	  280.993885,	    1.049992,	    1.049994,	    1.049988	  486.696333,	  486.695913,	  486.695782,	   49.999402,	236873.005852,	   -0.187049,	    1.000000,	    0.000000,	   -0.000000
    0.134958,	  280.994170,	  280.994203,	  280.993969,	    1.049992,	    1.049994,	    1.049989	  486.696333,	  486.695985,	  486.695928,	   50.000512,	236873.076156,	   -0.093897,	    1.000000,	    0.000000,	   -0.000000
    0.135375,	  280.993915,	  280.994259,	  280.994126,	    1.049992,	    1.049994,	    1.049989	  486.696013,	  486.696378,	  486.695783,	   49.999720,	236873.052784,	    0.125052,	    1.000000,	    0.000000,	   -0.000000
    0.135792,	  280.993958,	  280.994210,	  280.993991,	    1.049994,	    1.049993,	    1.049989	  486.696084,	  486.696141,	  486.695704,	   49.999757,	236872.973649,	    0.029137,	    1.000000,	    0.000000,	   -0.000000
    0.136208,	  280.994072,	  280.994101,	  280.993880,	    1.049994,	    1.049993,	    1.049990	  486.696154,	  486.695820,	  486.695771,	   50.000521,	236872.913746,	   -0.161491,	    1.000000,	    0.000000,	   -0.000000
    0.136625,	  280.994121,	  280.994061,	  280.993894,	    1.049994,	    1.049993,	    1.049990	  486.696157,	  486.695763,	  486.695867,	   49.999435,	236872.927336,	   -0.272118,	    1.000000,	    0.000000,	   -0.000000
    0.137042,	  280.994108,	  280.994115,	  280.993951,	    1.049994,	    1.049993,	    1.049991	  486.696171,	  486.695898,	  486.695886,	   49.999942,	236872.981848,	   -0.022138,	    1.000000,	    0.000000,	   -0.000000
    0.137458,	  280.994070,	  280.994262,	  280.994019,	    1.049995,	    1.049993,	    1.049991	  486.696257,	  486.696169,	  486.695835,	   50.000631,	236873.081241,	    0.238128,	    1.000000,	    0.000000,	   -0.000000
    0.137875,	  280.994078,	  280.994140,	  280.993925,	    1.049995,	    1.049992,	    1.049991	  486.696179,	  486.695915,	  486.695808,	   49.999239,	236872.964376,	    0.021765,	    1.000000,	    0.000000,	   -0.000000
    0.138292,	  280.994082,	  280.993785,	  280.993821,	    1.049995,	    1.049992,	    1.049991	  486.695835,	  486.695383,	  486.695897,	   50.000603,	236872.709123,	   -0.343940,	    1.000000,	    0.000000,	   -0.000000
    0.138708,	  280.994092,	  280.993997,	  280.993939,	    1.049995,	    1.049993,	    1.049992	  486.696023,	  486.695758,	  486.695922,	   49.999851,	236872.900042,	   -0.305604,	    1.000000,	   -0.000000,	    0.000000
    0.139125,	  280.994129,	  280.994210,	  280.993990,	    1.049995,	    1.049992,	    1.049992	  486.696282,	  486.696041,	  486.695900,	   49.999701,	236873.068693,	   -0.117997,	    1.000000,	    0.000000,	    0.000000
    0.139542,	  280.994108,	  280.994064,	  280.993933,	    1.049994,	    1.049991,	    1.049992	  486.696121,	  486.695819,	  486.695895,	   50.000676,	236872.943092,	    0.060042,	    1.000000,	    0.000000,	    0.000000
    0.139958,	  280.994050,	  280.993897,	  280.993908,	    1.049994,	    1.049991,	    1.049992	  486.695876,	  486.695630,	  486.695896,	   49.999406,	236872.802532,	   -0.244110,	    1.000000,	   -0.000000,	    0.000000
    0.140375,	  280.993986,	  280.993777,	  280.993903,	    1.049994,	    1.049991,	    1.049992	  486.695667,	  486.695524,	  486.695885,	   49.999835,	236872.696729,	   -0.453266,	    1.000000,	    0.000000,	    0.000000
    0.140792,	  280.994008,	  280.993891,	  280.993926,	    1.049994,	    1.049991,	    1.049992	  486.695810,	  486.695669,	  486.695872,	   50.000787,	236872.785854,	   -0.214322,	    1.000000,	   -0.000000,	    0.000000
    0.141208,	  280.994147,	  280.994125,	  280.993938,	    1.049993,	    1.049990,	    1.049992	  486.696235,	  486.695873,	  486.695910,	   49.999229,	236873.002108,	   -0.034814,	    1.000000,	   -0.000000,	    0.000000
    0.141625,	  280.994024,	  280.993890,	  280.993936,	    1.049993,	    1.049990,	    1.049992	  486.695822,	  486.695669,	  486.695902,	   50.000373,	236872.799323,	   -0.151108,	    1.000000,	    0.000000,	    0.000000
    0.142042,	  280.993876,	  280.993730,	  280.993940,	    1.049993,	    1.049990,	    1.049992	  486.695465,	  486.695575,	  486.695828,	   49.999958,	236872.629171,	   -0.285981,	    1.000000,	    0.000000,	    0.000000
    0.142458,	  280.993960,	  280.993876,	  280.993912,	    1.049993,	    1.049990,	    1.049992	  486.695747,	  486.695663,	  486.695808,	   49.999558,	236872.742551,	   -0.454494,	    1.000000,	   -0.000000,	    0.000000
    0.142875,	  280.994031,	  280.993930,	  280.993906,	    1.049992,	    1.049990,	    1.049992	  486.695895,	  486.695678,	  486.695852,	   50.000674,	236872.809623,	   -0.308279,	    1.000000,	   -0.000000,	    0.000000
    0.143292,	  280.994017,	  280.993907,	  280.993921,	    1.049991,	    1.049990,	    1.049992	  486.695842,	  486.695676,	  486.695866,	   49.999690,	236872.796657,	   -0.191305,	    1.000000,	    0.000000,	    0.000000
    0.143708,	  280.993944,	  280.993858,	  280.993951,	    1.049991,	    1.049989,	    1.049992	  486.695685,	  486.695696,	  486.695845,	   49.999468,	236872.745524,	   -0.259087,	    1.000000,	   -0.000000,	    0.000000
    0.144125,	  280.993821,	  280.993817,	  280.993967,	    1.049991,	    1.049990,	    1.049992	  486.695485,	  486.695739,	  486.695745,	   50.000787,	236872.661861,	   -0.286359,	    1.000000,	    0.000000,	    0.000000
    0.144542,	  280.993932,	  280.993850,	  280.993881,	    1.049991,	    1.049990,	    1.049991	  486.695702,	  486.695614,	  486.695755,	   49.999514,	236872.694880,	   -0.331265,	    1.000000,	   -0.000000,	    0.000000
    0.144958,	  280.994028,	  280.993852,	  280.993867,	    1.049991,	    1.049990,	    1.049992	  486.695823,	  486.695545,	  486.695848,	   50.000368,	236872.742021,	   -0.346727,	    1.000000,	   -0.000000,	    0.000000
    0.145375,	  280.993922,	  280.993881,	  280.993974,	    1.049990,	    1.049990,	    1.049992	  486.695672,	  486.695762,	  486.695833,	   49.999997,	236872.758553,	   -0.214332,	    1.000000,	   -0.000000,	    0.000000
    0.145792,	  280.993879,	  280.993893,	  280.993966,	    1.049990,	    1.049989,	    1.049991	  486.695642,	  486.695791,	  486.695767,	   49.999696,	236872.736967,	   -0.173132,	    1.000000,	   -0.000000,	    0.000000
    0.146208,	  280.993914,	  280.993857,	  280.993922,	    1.049990,	    1.049989,	    1.049991	  486.695665,	  486.695679,	  486.695779,	   50.000479,	236872.711668,	   -0.240596,	    1.000000,	   -0.000000,	    0.000000
    0.146625,	  280.993936,	  280.993831,	  280.993913,	    1.049990,	    1.049990,	    1.049991	  486.695666,	  486.695627,	  486.695808,	   49.999777,	236872.704565,	   -0.356172,	    1.000000,	   -0.000000,	    0.000000
    0.147042,	  280.993955,	  280.993811,	  280.993927,	    1.049990,	    1.049990,	    1.049991	  486.695657,	  486.695608,	  486.695857,	   49.999753,	236872.711334,	   -0.347642,	    1.000000,	   -0.000000,	    0.000000
    0.147458,	  280.993927,	  280.993940,	  280.994007,	    1.049990,	    1.049990,	    1.049991	  486.695727,	  486.695866,	  486.695843,	   50.000494,	236872.813272,	   -0.134663,	    1.000000,	   -0.000000,	    0.000000
    0.147875,	  280.993917,	  280.993997,	  280.994012,	    1.049990,	    1.049990,	    1.049991	  486.695778,	  486.695944,	  486.695805,	   49.999513,	236872.842842,	   -0.117281,	    1.000000,	   -0.000000,	    0.000000
    0.148292,	  280.993919,	  280.993795,	  280.993933,	    1.049990,	    1.049990,	    1.049991	  486.695593,	  486.695617,	  486.695832,	   50.000333,	236872.685823,	   -0.233155,	    1.000000,	   -0.000000,	    0.000000
    0.148708,	  280.993915,	  280.993811,	  280.993973,	    1.049990,	    1.049991,	    1.049991	  486.695584,	  486.695683,	  486.695865,	   49.999911,	236872.714817,	   -0.300745,	    1.000000,	   -0.000000,	   -0.000000
    0.149125,	  280.993935,	  280.993957,	  280.994023,	    1.049990,	    1.049991,	    1.049991	  486.695746,	  486.695899,	  486.695862,	   49.999750,	236872.836480,	   -0.219413,	    1.000000,	   -0.000000,	   -0.000000
    0.149542,	  280.993942,	  280.993979,	  280.994027,	    1.049990,	    1.049991,	    1.049991	  486.695778,	  486.695926,	  486.695860,	   50.000438,	236872.854893,	   -0.030929,	    1.000000,	   -0.000000,	   -0.000000
    0.149958,	  280.993941,	  280.993977,	  280.994027,	    1.049990,	    1.049991,	    1.049991	  486.695774,	  486.695924,	  486.695860,	   49.999746,	236872.853150,	   -0.052795,	    1.000000,	   -0.000000,	   -0.000000
    0.150375,	  280.993899,	  280.993887,	  280.994019,	    1.049990,	    1.049991,	    1.049991	  486.695626,	  486.695834,	  486.695855,	   49.999743,	236872.774180,	   -0.268507,	    1.000000,	   -0.000000,	   -0.000000
    0.150792,	  280.993873,	  280.993879,	  280.994027,	    1.049990,	    1.049992,	    1.049991	  486.695583,	  486.695849,	  486.695839,	   50.000514,	236872.759803,	   -0.206826,	    1.000000,	    0.000000,	   -0.000000
    0.151208,	  280.993973,	  280.994089,	  280.994041,	    1.049990,	    1.049992,	    1.049991	  486.695932,	  486.696051,	  486.695849,	   49.999490,	236872.941970,	   -0.112595,	    1.000000,	    0.000000,	   -0.000000
    0.151625,	  280.993971,	  280.994059,	  280.994041,	    1.049990,	    1.049991,	    1.049991	  486.695895,	  486.696016,	  486.695864,	   50.000231,	236872.923480,	   -0.056048,	    1.000000,	   -0.000000,	   -0.000000
    0.152042,	  280.993886,	  280.993960,	  280.994044,	    1.049990,	    1.049992,	    1.049991	  486.695681,	  486.695955,	  486.695828,	   50.000134,	236872.822405,	   -0.064074,	    1.000000,	    0.000000,	   -0.000000
    0.152458,	  280.993897,	  280.994005,	  280.994032,	    1.049991,	    1.049992,	    1.049991	  486.695753,	  486.695986,	  486.695800,	   49.999524,	236872.846640,	   -0.165198,	    1.000000,	    0.000000,	   -0.000000
    0.152875,	  280.993933,	  280.994050,	  280.994018,	    1.049991,	    1.049992,	    1.049991	  486.695855,	  486.696002,	  486.695798,	   50.000485,	236872.884550,	   -0.157568,	    1.000000,	    0.000000,	   -0.000000
    0.153292,	  280.993970,	  280.994082,	  280.994006,	    1.049991,	    1.049992,	    1.049991	  486.695942,	  486.696003,	  486.695810,	   50.000003,	236872.916937,	   -0.052222,	    1.000000,	    0.000000,	   -0.000000
    0.153708,	  280.993995,	  280.994094,	  280.994003,	    1.049991,	    1.049992,	    1.049991	  486.695985,	  486.696000,	  486.695828,	   49.999502,	236872.935616,	   -0.086601,	    1.000000,	    0.000000,	   -0.000000
    0.154125,	  280.993904,	  280.994056,	  280.994035,	    1.049991,	    1.049992,	    1.049991	  486.695818,	  486.696044,	  486.695782,	   50.000476,	236872.880979,	   -0.077893,	    1.000000,	   -0.000000,	   -0.000000
    0.154542,	  280.993936,	  280.994070,	  280.993984,	    1.049991,	    1.049992,	    1.049991	  486.695901,	  486.695984,	  486.695752,	   49.999670,	236872.878541,	   -0.119174,	    1.000000,	    0.000000,	   -0.000000
    0.154958,	  280.994022,	  280.994073,	  280.993942,	    1.049992,	    1.049992,	    1.049991	  486.696028,	  486.695888,	  486.695801,	   50.000178,	236872.904395,	   -0.163236,	    1.000000,	    0.000000,	   -0.000000
    0.155375,	  280.994008,	  280.994079,	  280.993975,	    1.049992,	    1.049992,	    1.049991	  486.695999,	  486.695943,	  486.695819,	   49.999994,	236872.918765,	   -0.123795,	    1.000000,	    0.000000,	   -0.000000
    0.155792,	  280.993985,	  280.994088,	  280.993983,	    1.049992,	    1.049992,	    1.049991	  486.695979,	  486.695975,	  486.695797,	   49.999767,	236872.915752,	   -0.081917,	    1.000000,	   -0.000000,	   -0.000000
    0.156208,	  280.993999,	  280.994071,	  280.993958,	    1.049992,	    1.049992,	    1.049991	  486.695990,	  486.695918,	  486.695794,	   50.000229,	236872.899526,	   -0.084005,	    1.000000,	    0.000000,	   -0.000000
    0.156625,	  280.994004,	  280.994062,	  280.993949,	    1.049992,	    1.049992,	    1.049991	  486.695990,	  486.695895,	  486.695795,	   49.999944,	236872.892604,	   -0.143115,	    1.000000,	    0.000000,	   -0.000000
    0.157042,	  280.994040,	  280.993983,	  280.993909,	    1.049992,	    1.049992,	    1.049991	  486.695964,	  486.695736,	  486.695835,	   49.999756,	236872.845833,	   -0.220441,	    1.000000,	    0.000000,	   -0.000000
    0.157458,	  280.994036,	  280.994024,	  280.993950,	    1.049992,	    1.049992,	    1.049991	  486.695982,	  486.695834,	  486.695855,	   50.000304,	236872.889887,	   -0.143113,	    1.000000,	    0.000000,	   -0.000000
    0.157875,	  280.994028,	  280.994087,	  280.993975,	    1.049992,	    1.049992,	    1.049991	  486.696033,	  486.695940,	  486.695837,	   49.999629,	236872.934790,	   -0.096022,	    1.000000,	    0.000000,	   -0.000000
    0.158292,	  280.994029,	  280.993994,	  280.993932,	    1.049992,	    1.049992,	    1.049991	  486.695951,	  486.695783,	  486.695843,	   50.000193,	236872.859066,	   -0.140104,	    1.000000,	    0.000000,	   -0.000000
    0.158708,	  280.994022,	  280.993926,	  280.993925,	    1.049992,	    1.049992,	    1.049991	  486.695868,	  486.695700,	  486.695865,	   50.000056,	236872.812664,	   -0.210457,	    1.000000,	    0.000000,	    0.000000
    0.159125,	  280.994027,	  280.993982,	  280.993952,	    1.049992,	    1.049992,	    1.049991	  486.695923,	  486.695794,	  486.695870,	   49.999692,	236872.862137,	   -0.262031,	    1.000000,	    0.000000,	    0.000000
    0.159542,	  280.994019,	  280.993958,	  280.993950,	    1.049992,	    1.049991,	    1.049991	  486.695886,	  486.695767,	  486.695873,	   50.000316,	236872.842753,	   -0.172659,	    1.000000,	    0.000000,	    0.000000
    0.159958,	  280.994032,	  280.994008,	  280.993962,	    1.049992,	    1.049991,	    1.049991	  486.695952,	  486.695832,	  486.695873,	   49.999959,	236872.885002,	   -0.118739,	    1.000000,	    0.000000,	    0.000000
    0.160375,	  280.994004,	  280.993936,	  280.993952,	    1.049992,	    1.049991,	    1.049991	  486.695844,	  486.695752,	  486.695870,	   49.999697,	236872.823300,	   -0.224410,	    1.000000,	    0.000000,	    0.000000
    0.160792,	  280.993959,	  280.993865,	  280.993949,	    1.049992,	    1.049991,	    1.049991	  486.695711,	  486.695694,	  486.695857,	   50.000333,	236872.756938,	   -0.254664,	    1.000000,	   -0.000000,	    0.000000
    0.161208,	  280.993985,	  280.993944,	  280.993957,	    1.049992,	    1.049991,	    1.049991	  486.695828,	  486.695779,	  486.695850,	   49.999702,	236872.820275,	   -0.232226,	    1.000000,	    0.000000,	    0.000000
    0.161625,	  280.994015,	  280.993986,	  280.993957,	    1.049992,	    1.049991,	    1.049991	  486.695910,	  486.695810,	  486.695860,	   50.000073,	236872.860339,	   -0.214447,	    1.000000,	    0.000000,	    0.000000
    0.162042,	  280.993954,	  280.993905,	  280.993961,	    1.049991,	    1.049990,	    1.049991	  486.695745,	  486.695756,	  486.695842,	   50.000154,	236872.783355,	   -0.174727,	    1.000000,	    0.000000,	    0.000000
    0.162458,	  280.993955,	  280.993922,	  280.993955,	    1.049991,	    1.049990,	    1.049991	  486.695768,	  486.695769,	  486.695826,	   49.999666,	236872.789678,	   -0.244947,	    1.000000,	   -0.000000,	    0.000000
    0.162875,	  280.993933,	  280.993909,	  280.993955,	    1.049991,	    1.049990,	    1.049991	  486.695729,	  486.695767,	  486.695807,	   50.000177,	236872.770017,	   -0.272728,	    1.000000,	   -0.000000,	    0.000000
    0.163292,	  280.993952,	  280.993932,	  280.993943,	    1.049991,	    1.049990,	    1.049991	  486.695784,	  486.695768,	  486.695803,	   50.000130,	236872.786795,	   -0.226896,	    1.000000,	    0.000000,	    0.000000
    0.163708,	  280.993979,	  280.993947,	  280.993936,	    1.049991,	    1.049990,	    1.049991	  486.695836,	  486.695762,	  486.695817,	   49.999657,	236872.806631,	   -0.224825,	    1.000000,	   -0.000000,	    0.000000
    0.164125,	  280.993940,	  280.993928,	  280.993957,	    1.049991,	    1.049990,	    1.049991	  486.695758,	  486.695786,	  486.695807,	   50.000237,	236872.785719,	   -0.217354,	    1.000000,	   -0.000000,	    0.000000
    0.164542,	  280.993905,	  280.993923,	  280.993955,	    1.049991,	    1.049990,	    1.049991	  486.695712,	  486.695798,	  486.695768,	   49.999783,	236872.762447,	   -0.207950,	    1.000000,	   -0.000000,	    0.000000
    0.164958,	  280.993963,	  280.993925,	  280.993917,	    1.049991,	    1.049990,	    1.049991	  486.695803,	  486.695723,	  486.695789,	   50.000076,	236872.774178,	   -0.253810,	    1.000000,	   -0.000000,	    0.000000
    0.165375,	  280.993955,	  280.993928,	  280.993937,	    1.049991,	    1.049990,	    1.049991	  486.695786,	  486.695755,	  486.695801,	   50.000115,	236872.783021,	   -0.233798,	    1.000000,	   -0.000000,	    0.000000
    0.165792,	  280.993956,	  280.993929,	  280.993941,	    1.049991,	    1.049990,	    1.049991	  486.695786,	  486.695760,	  486.695806,	   49.999765,	236872.786053,	   -0.217864,	    1.000000,	   -0.000000,	    0.000000
    0.166208,	  280.993951,	  280.993935,	  280.993948,	    1.049991,	    1.049990,	    1.049991	  486.695782,	  486.695779,	  486.695805,	   50.000171,	236872.790804,	   -0.182829,	    1.000000,	   -0.000000,	    0.000000
    0.166625,	  280.993947,	  280.993940,	  280.993952,	    1.049991,	    1.049990,	    1.049991	  486.695782,	  486.695791,	  486.695804,	   50.000032,	236872.794115,	   -0.192596,	    1.000000,	   -0.000000,	    0.000000
    0.167042,	  280.993961,	  280.993910,	  280.993935,	    1.049991,	    1.049990,	    1.049991	  486.695772,	  486.695728,	  486.695817,	   49.999799,	236872.775015,	   -0.231294,	    1.000000,	   -0.000000,	    0.000000
    0.167458,	  280.993971,	  280.993890,	  280.993943,	    1.049991,	    1.049991,	    1.049991	  486.695757,	  486.695709,	  486.695848,	   50.000177,	236872.773633,	   -0.221790,	    1.000000,	    0.000000,	    0.000000
